EAR: 0.279992312331787, Frame Count: 0
EAR: 0.26349663195515993, Frame Count: 0
EAR: 0.24993937711467012, Frame Count: 0
EAR: 0.2469528111599285, Frame Count: 0
EAR: 0.3011251560335294, Frame Count: 0
EAR: 0.3004808704394837, Frame Count: 0
EAR: 0.2219917910785289, Frame Count: 0
EAR: 0.24245581574617886, Frame Count: 0
EAR: 0.14383541173740289, Frame Count: 0
EAR: 0.14530134574928194, Frame Count: 0
EAR: 0.2543865953985723, Frame Count: 0
EAR: 0.2748096931913076, Frame Count: 0
EAR: 0.2416463358361501, Frame Count: 0
EAR: 0.21698942784760528, Frame Count: 0
EAR: 0.20569147527255977, Frame Count: 0
EAR: 0.2106685098705579, Frame Count: 0
EAR: 0.1803869343243873, Frame Count: 0
EAR: 0.18809406001875117, Frame Count: 0
EAR: 0.1521285515045212, Frame Count: 0
EAR: 0.2062794496842952, Frame Count: 0
EAR: 0.14305930056957628, Frame Count: 0
EAR: 0.16998676232050616, Frame Count: 0
EAR: 0.13590670348639725, Frame Count: 0
EAR: 0.09870387350911133, Frame Count: 0
EAR: 0.13436483642334654, Frame Count: 0
EAR: 0.11273553370156977, Frame Count: 0
EAR: 0.10482703973180027, Frame Count: 0
EAR: 0.09185396469767115, Frame Count: 0
EAR: 0.1332243024381468, Frame Count: 0
EAR: 0.2056664629630465, Frame Count: 0
EAR: 0.23531286471462876, Frame Count: 0
EAR: 0.2414059391910779, Frame Count: 0
EAR: 0.1432003509265603, Frame Count: 0
EAR: 0.26744874181873, Frame Count: 0
EAR: 0.25982320058983754, Frame Count: 0
EAR: 0.26513521825716635, Frame Count: 0
EAR: 0.26547451948407375, Frame Count: 0
EAR: 0.21373718448849816, Frame Count: 0
EAR: 0.1653017320125938, Frame Count: 0
EAR: 0.15294713207317284, Frame Count: 0
EAR: 0.1434847986145234, Frame Count: 0
EAR: 0.16789930497680403, Frame Count: 0
EAR: 0.29125305202401297, Frame Count: 0
EAR: 0.17911750479441094, Frame Count: 0
EAR: 0.1783048224081813, Frame Count: 0
EAR: 0.18233415708215686, Frame Count: 0
EAR: 0.15157568485571415, Frame Count: 0
EAR: 0.19345916870608032, Frame Count: 0
EAR: 0.2131928980800893, Frame Count: 0
EAR: 0.28214907115016497, Frame Count: 0
EAR: 0.26731052988041243, Frame Count: 0
EAR: 0.2892644091393517, Frame Count: 0
EAR: 0.2712860331845577, Frame Count: 0
EAR: 0.2513145665591959, Frame Count: 0
EAR: 0.2636808638136826, Frame Count: 0
EAR: 0.25218845583173166, Frame Count: 0
EAR: 0.2700677318063333, Frame Count: 0
EAR: 0.24236563525653498, Frame Count: 0
EAR: 0.2581078379751883, Frame Count: 0
EAR: 0.24850784469714363, Frame Count: 0
EAR: 0.181314451473993, Frame Count: 0
EAR: 0.24942510389260727, Frame Count: 0
EAR: 0.23504416432501452, Frame Count: 0
EAR: 0.17079506506306968, Frame Count: 0
EAR: 0.15016672346993587, Frame Count: 0
EAR: 0.13747598343207634, Frame Count: 0
EAR: 0.15276851938482378, Frame Count: 0
EAR: 0.12029265743509608, Frame Count: 0
EAR: 0.24705996467541075, Frame Count: 0
EAR: 0.25038562822828514, Frame Count: 0
EAR: 0.27609735387448453, Frame Count: 0
EAR: 0.2604649502717901, Frame Count: 0
EAR: 0.254377194289971, Frame Count: 0
EAR: 0.31097773643087223, Frame Count: 0
EAR: 0.23741413013608612, Frame Count: 0
EAR: 0.22073822271767546, Frame Count: 0
EAR: 0.33861474073893516, Frame Count: 0
EAR: 0.31051624886469514, Frame Count: 0
EAR: 0.34326560238509424, Frame Count: 0
EAR: 0.3401100053717997, Frame Count: 0
EAR: 0.34889040260055487, Frame Count: 0
EAR: 0.32802043689946103, Frame Count: 0
EAR: 0.2861838747947277, Frame Count: 0
EAR: 0.247795726622263, Frame Count: 0
EAR: 0.13868896411396925, Frame Count: 0
EAR: 0.17260027512132098, Frame Count: 0
EAR: 0.17591906114644285, Frame Count: 0
EAR: 0.17764436135266998, Frame Count: 0
EAR: 0.12172229294291204, Frame Count: 0
EAR: 0.21950072141961574, Frame Count: 0
EAR: 0.24290336841603766, Frame Count: 0
EAR: 0.23273371789501957, Frame Count: 0
EAR: 0.2746565400114512, Frame Count: 0
EAR: 0.1896768080026195, Frame Count: 0
EAR: 0.17832064927539665, Frame Count: 0
EAR: 0.1766587672474522, Frame Count: 0
EAR: 0.16427202628825327, Frame Count: 0
EAR: 0.20757564173421877, Frame Count: 0
EAR: 0.20849556665578378, Frame Count: 0
EAR: 0.2735196314904534, Frame Count: 0
EAR: 0.2094850723784077, Frame Count: 0
EAR: 0.26471900471483206, Frame Count: 0
EAR: 0.23018521651082546, Frame Count: 0
EAR: 0.20974678819144338, Frame Count: 0
EAR: 0.1865835066993527, Frame Count: 0
EAR: 0.19573845128017506, Frame Count: 0
EAR: 0.17612348770235292, Frame Count: 0
EAR: 0.19183503945522623, Frame Count: 0
EAR: 0.22633323192942384, Frame Count: 0
EAR: 0.2025606889415275, Frame Count: 0
EAR: 0.16764773991735385, Frame Count: 0
EAR: 0.17020940781219596, Frame Count: 0
EAR: 0.27682692531241526, Frame Count: 0
